epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,1704.71,0.42243,0.5358,0.54139,0.87438,0,0.7357,0.80299,0.83473,0.73395,0.73078,0.7967,0.82777,0.74649,0.43579,0.6348,0.65068,0.85893,0,0.007228,0.007228,0.007228
30,1762.62,0.43166,0.51972,0.50606,0.87573,0,0.79811,0.75271,0.80576,0.73717,0.79811,0.75271,0.80576,0.74416,0.38146,0.57269,0.71073,0.83116,0,0.007129,0.007129,0.007129
31,1820.94,0.42598,0.49503,0.52176,0.87691,0,0.75023,0.82677,0.83279,0.74319,0.7448,0.82048,0.82432,0.74636,0.38346,0.63994,0.67541,0.8363,0,0.00703,0.00703,0.00703
32,1879.45,0.41239,0.47901,0.50939,0.86846,0,0.74933,0.83428,0.83445,0.75652,0.74476,0.82799,0.83144,0.7649,0.36889,0.57086,0.64033,0.83717,0,0.006931,0.006931,0.006931
33,1939.07,0.40355,0.49467,0.50177,0.8713,0,0.70968,0.76449,0.75021,0.67951,0.70968,0.76449,0.75021,0.68907,0.38747,0.62331,0.73736,0.85008,0,0.006832,0.006832,0.006832
34,1997.38,0.40322,0.46281,0.49373,0.86674,0,0.73596,0.85907,0.8513,0.77353,0.73596,0.85907,0.8513,0.77707,0.38527,0.67054,0.64335,0.85055,0,0.006733,0.006733,0.006733
35,2056.07,0.40658,0.49544,0.47518,0.86635,0,0.81335,0.82642,0.87322,0.79869,0.81335,0.82642,0.87322,0.80466,0.37972,0.56038,0.56695,0.83998,0,0.006634,0.006634,0.006634
36,2116.38,0.38683,0.46444,0.44451,0.859,0,0.73593,0.80269,0.82404,0.74674,0.73593,0.80269,0.82452,0.74913,0.37808,0.59915,0.65098,0.85143,0,0.006535,0.006535,0.006535
37,2178.1,0.41431,0.46913,0.46148,0.87329,0,0.86673,0.85134,0.87934,0.80402,0.86673,0.85134,0.88,0.8054,0.36073,0.64371,0.53764,0.837,0,0.006436,0.006436,0.006436
38,2252.59,0.39367,0.45276,0.46355,0.86146,0,0.83166,0.751,0.83476,0.75673,0.83166,0.751,0.83291,0.76247,0.36372,0.57409,0.61935,0.8332,0,0.006337,0.006337,0.006337
39,2319.32,0.37419,0.43553,0.44053,0.85161,0,0.66737,0.86176,0.80357,0.73409,0.66737,0.86176,0.80357,0.74525,0.35997,0.58978,0.70654,0.84024,0,0.006238,0.006238,0.006238
40,2382.36,0.3684,0.42919,0.44358,0.85452,0,0.78347,0.79319,0.82165,0.75179,0.78347,0.79319,0.82165,0.75522,0.37949,0.6634,0.62287,0.85206,0,0.006139,0.006139,0.006139
41,2442.4,0.37884,0.46806,0.42816,0.85464,0,0.77913,0.79963,0.81526,0.75047,0.7609,0.78108,0.7997,0.72328,0.36017,0.70347,0.62592,0.83845,0,0.00604,0.00604,0.00604
42,2501.77,0.37192,0.44856,0.42653,0.85164,0,0.80712,0.7329,0.78694,0.71057,0.80712,0.7329,0.78471,0.71757,0.38355,0.65966,0.74083,0.85791,0,0.005941,0.005941,0.005941
43,2559.48,0.3556,0.42653,0.40774,0.83867,0,0.79853,0.82648,0.83034,0.76742,0.79853,0.82648,0.83034,0.77082,0.35973,0.63348,0.64601,0.83731,0,0.005842,0.005842,0.005842
44,2616.48,0.36602,0.41764,0.42643,0.85294,0,0.7468,0.85108,0.82152,0.75502,0.7468,0.85108,0.82248,0.76382,0.37773,0.5643,0.61579,0.85433,0,0.005743,0.005743,0.005743
45,2674.42,0.36196,0.43274,0.41647,0.8531,0,0.76518,0.83487,0.81993,0.74586,0.76518,0.83487,0.81993,0.75457,0.36481,0.62721,0.6142,0.8544,0,0.005644,0.005644,0.005644
46,2732.38,0.36192,0.43599,0.39958,0.85413,0,0.74214,0.79422,0.79239,0.72498,0.74214,0.79422,0.79428,0.72775,0.38145,0.62915,0.73272,0.8662,0,0.005545,0.005545,0.005545
47,2790.46,0.3508,0.41583,0.39778,0.84056,0,0.83267,0.76928,0.84296,0.75191,0.83267,0.76928,0.84424,0.76968,0.39249,0.61648,0.64011,0.87147,0,0.005446,0.005446,0.005446
48,2849.15,0.35056,0.42195,0.38886,0.84418,0,0.79226,0.75701,0.81063,0.74939,0.79317,0.74534,0.80806,0.75285,0.36287,0.61127,0.68903,0.85108,0,0.005347,0.005347,0.005347
49,2907.94,0.3486,0.42073,0.38537,0.84875,0,0.82459,0.8235,0.84706,0.78485,0.81877,0.81721,0.84138,0.78584,0.34508,0.61767,0.6099,0.8454,0,0.005248,0.005248,0.005248
50,2967.16,0.33839,0.42223,0.39269,0.84114,0,0.77587,0.83011,0.81735,0.75434,0.77587,0.83011,0.81695,0.7519,0.34508,0.66228,0.6536,0.83705,0,0.005149,0.005149,0.005149
51,3026.89,0.35298,0.42277,0.40794,0.84899,0,0.81746,0.78761,0.8252,0.76638,0.81746,0.78761,0.8252,0.76627,0.34496,0.62322,0.61339,0.83296,0,0.00505,0.00505,0.00505
52,3087,0.34879,0.432,0.37607,0.84345,0,0.80448,0.818,0.83975,0.76699,0.80448,0.818,0.83975,0.77974,0.35538,0.62307,0.59211,0.84038,0,0.004951,0.004951,0.004951
53,3145.66,0.32847,0.39726,0.36686,0.83713,0,0.75779,0.82536,0.85206,0.7878,0.75779,0.82536,0.85315,0.78555,0.34968,0.56921,0.5612,0.84051,0,0.004852,0.004852,0.004852
54,3204.61,0.33017,0.41074,0.38061,0.8354,0,0.82917,0.82458,0.87327,0.8024,0.82917,0.82458,0.87569,0.80068,0.34469,0.62915,0.53383,0.83397,0,0.004753,0.004753,0.004753
55,3264.45,0.33823,0.39075,0.36895,0.8375,0,0.7901,0.80876,0.849,0.77063,0.792,0.80774,0.84339,0.76844,0.35522,0.71204,0.61921,0.85396,0,0.004654,0.004654,0.004654
56,3324.75,0.33304,0.40352,0.36941,0.83875,0,0.77363,0.80874,0.81155,0.75238,0.77363,0.80874,0.81155,0.75315,0.33613,0.61686,0.69547,0.84469,0,0.004555,0.004555,0.004555
57,3383.47,0.328,0.43009,0.37606,0.84111,0,0.79107,0.81179,0.82248,0.75655,0.79107,0.81179,0.82248,0.77033,0.35164,0.57403,0.66706,0.85503,0,0.004456,0.004456,0.004456
